issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"When a member is removed from an organization, access is revoked immediately, though your account history will be maintained if you are re-added using the same email address. However, our available documentation does not cover a procedure for support to manually restore workspace access for a user without an account owner or administrator re-adding them. To regain access, you will need to contact your workspace owner or IT administrator so they can re-add your seat to the team.",claude_team-and-enterprise-plans,replied,product_issue,Ticket has sensitive signals (account_access) but the support corpus contains a documented process for it (confidence 0.458); replying with that documented process rather than escalating.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Our available documentation does not cover procedures for reviewing candidate test answers, adjusting scores, or contacting recruiters to request candidate advancement. For questions or concerns regarding your test results and application status, please reach out directly to the recruiting team or company managing your assessment.",hackerrank_screen,replied,product_issue,Ticket has sensitive signals (assessment_integrity) but the support corpus contains a documented process for it (confidence 0.586); replying with that documented process rather than escalating.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"The specific steps for issuing a refund for an incorrect product or banning a merchant from taking payments are not covered in available documentation. Please note that Visa does not set up, service, or have access to cardholder or merchant accounts. For assistance with your transaction, please contact your card issuer or bank directly using the website or phone number listed on your card.",visa_support,replied,product_issue,Ticket has sensitive signals (billing_dispute) but the support corpus contains a documented process for it (confidence 0.310); replying with that documented process rather than escalating.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,I am sorry to hear that your mock interview stopped unexpectedly. Our available documentation does not cover refund policies or resolution steps for mock interviews that are interrupted midway. Please share your account details with us so we can investigate the issue further and assist you.,hackerrank_interviews,replied,bug,Ticket has sensitive signals (billing_dispute) but the support corpus contains a documented process for it (confidence 0.500); replying with that documented process rather than escalating.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"If your payment failed, please try refreshing the page and retrying the payment. If any amount was deducted incorrectly during a failed transaction, it will be refunded within 5–10 business days. 

However, available documentation does not cover handling or looking up specific order IDs. For direct assistance with your order ID, please contact HackerRank support at help@hackerrank.com.",hackerrank_general-help,replied,product_issue,Ticket has sensitive signals (billing_dispute) but the support corpus contains a documented process for it (confidence 0.375); replying with that documented process rather than escalating.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Our available documentation does not cover assistance with completing your company's infosec forms or security evaluation process. As a result, I am unable to assist with filling out those specific forms through this support channel. Please reach out to your account representative or support team directly for help with security compliance requirements.",hackerrank_general-help,replied,product_issue,Ticket has sensitive signals (security) but the support corpus contains a documented process for it (confidence 0.667); replying with that documented process rather than escalating.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"To set up QuickApply, you typically log in to the HackerRank Community and select the **Apply** tab. However, troubleshooting steps for when the **Apply** tab is missing or not visible are not covered in the available documentation. Please contact support directly so we can assist you further with your account.",hackerrank_hackerrank_community,replied,bug,Standard FAQ-type request with strong corpus match (confidence 0.576).
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"I am sorry to hear that you are experiencing issues with challenge submissions across the site. Currently, troubleshooting site-wide submission failures or platform outages is not covered in the available documentation. Please provide any error messages or details about what occurs when you submit so our team can help investigate this issue further.",hackerrank_screen,replied,bug,Standard FAQ-type request with strong corpus match (confidence 0.324).
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"I am sorry for the inconvenience you are facing while trying to start your test. Unfortunately, our available documentation does not cover troubleshooting steps for Zoom connectivity errors or system compatibility check failures. Please reach out directly to your test administrator or support coordinator so they can assist you with resolving this connection blocker.",hackerrank_screen,replied,bug,Standard FAQ-type request with strong corpus match (confidence 0.333).
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Thank you for reaching out. The steps for requesting or granting a reschedule for an assessment are not covered in the available documentation. Please contact the recruiting team or recruiter at the company that issued your assessment invitation for assistance with obtaining a new test date.,hackerrank_screen,replied,product_issue,Standard FAQ-type request with strong corpus match (confidence 0.551).
